CaptureEventID,DateTime,SiteID,LocationX,LocationY,Species,AltitudeMoved,DistanceMoved,Tensed,DisasterPrediction
ASG0002kjh,40389.73,B04,695238,9729497,reedbuck,2,5,1,1
ASG0002kji,40389.73,B04,695238,9729497,zebra,2,5,1,1
ASG0002kjm,40389.73,B04,695238,9729497,gazelleGrants,2,5,1,1
ASG0002kjn,40389.73,B04,695238,9729497,reedbuck,2,5,0,1
ASG0002kjo,40389.73,B04,695238,9729497,dikDik,2,5,0,1
ASG0002kjp,40389.73,B04,695238,9729497,zebra,2,5,1,1
ASG0002kjs,40389.73,B04,695238,9729497,zebra,2,5,0,1
ASG0002kjt,40389.73,B04,695238,9729497,gazelleGrants,2,5,1,1
ASG0002kjx,40389.73,B04,695238,9729497,zebra,2,5,1,1
ASG0002kjy,40389.73,B04,695238,9729497,zebra,2,5,0,1
ASG0002kk0,40389.73,B04,695238,9729497,zebra,2,5,1,1
ASG0002kk2,40389.73,B04,695238,9729497,gazelleGrants,2,5,1,1
ASG0002kk3,40389.73,B04,695238,9729497,dikDik,2,5,1,1
ASG0002kk4,40389.73,B04,695238,9729497,dikDik,2,5,1,1
ASG0002kk5,40389.73,B04,695238,9729497,zebra,2,5,1,1
ASG0002kk6,40389.73,B04,695238,9729497,gazelleGrants,2,5,1,1
ASG0002kk7,40389.73,B04,695238,9729497,gazelleThomsons,2,5,0,1
ASG0002kk9,40389.73,B04,695238,9729497,porcupine,2,5,0,1
ASG0002kka,40389.73,B04,695238,9729497,reedbuck,2,5,0,1
ASG0000001,40389.73,B05,694892,9727162,dikDik,2,5,0,1
ASG0000002,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0000004,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0000007,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0000009,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG000000a,40389.73,B05,694892,9727162,warthog,2,5,1,1
ASG000000d,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG000000e,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG000000f,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000g,40389.73,B05,694892,9727162,zebra,2,5,0,1
ASG000000h,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000i,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000j,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000k,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000l,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000m,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000n,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000p,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000t,40389.73,B05,694892,9727162,elephant,2,5,1,1
ASG000000v,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG000000w,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG000000x,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG000000y,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG0000010,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG0002kkb,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG0002kke,40389.73,B05,694892,9727162,giraffe,2,5,1,1
ASG0002kkj,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kkm,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kkn,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG0002kko,40389.73,B05,694892,9727162,mongoose,2,5,1,1
ASG0002kkq,40389.73,B05,694892,9727162,giraffe,2,5,1,1
ASG0002kkt,40389.73,B05,694892,9727162,giraffe,2,5,1,1
ASG0002kku,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG0002kkv,40389.73,B05,694892,9727162,mongoose,2,5,1,1
ASG0002kkx,40389.73,B05,694892,9727162,giraffe,2,5,1,1
ASG0002kky,40389.73,B05,694892,9727162,reedbuck,2,5,1,1
ASG0002kkz,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kl0,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG0002kl1,40389.73,B05,694892,9727162,hyenaSpotted,2,5,1,1
ASG0002kl2,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG0002kl3,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kl4,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG0002kl5,40389.73,B05,694892,9727162,zebra,2,5,1,1
ASG0002kl6,40389.73,B05,694892,9727162,elephant,2,5,1,1
ASG0002kl7,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG0002kl8,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG0002kl9,40389.73,B05,694892,9727162,dikDik,2,5,1,1
ASG0002kla,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG0002klb,40389.73,B05,694892,9727162,impala,2,5,1,1
ASG0002klc,40389.73,B05,694892,9727162,elephant,2,5,1,1
ASG0002klg,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kli,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kln,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klp,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klq,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klr,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002kls,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klt,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klu,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
ASG0002klv,40389.73,B05,694892,9727162,gazelleThomsons,2,5,1,1
